filename,product_name,price_default,price_card,price_discount,barcode,discount_amount,id_sku,print_datetime,code,additional_info,color,special_symbols,frame_timestamp,x_min,y_min,x_max,y_max,qr_code_barcode,price1_qr,price2_qr,price3_qr,price4_qr,wholesale_level_1_coun,wholesale_level_1_price,wholesale_level_2_count,wholesale_level_2_price,action_price_qr,action_code_qr
26_12-20.mp4,Вино MOULIN DE LA FAYE Шато Мулен де ла Фэй Бордо Гранд Резерв кр. сух. (Франция) 0. 75L,"3789,49","2345,99",нет,3500610117022,-38%,270101738668,17.02.2026 1:14,нет,Сухое,red,нет,6595,"2011,9","1923,3","2231,6","2115,3",3500610117022,3789.49,3599.99,,2345.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино CITRAN Бордо Суперьор кр. сух. (Франция) 0. 75L,"2631,57","1899,99",нет,4690491122587,-27%,,,,Сухое,red,Ш,6595,"2029,7","1463,6","2260,9","1706,3",4690491122587,2631.57,,,1899.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино PREIGNES LE VIEUX Пэй дОк Лез Этонан Каберне Фран сорт. кр. сух. (Франция) 0. 75L,"2421,05","1631,99",нет,3552848940002,-32%,270101051849,01.04.2026 0:41,01_025019 - 026015,нет,red,Ш,6595,"2073,3","800,3","2307,1","1052,8",3552848940002,2421.05,2299.99,,1631.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино ALBERT BICHOT Chateau De Dracy Пино Нуар Бургонь выдерж. кр. сух. (Франция) 0. 75L,"5578,99","2999,99",нет,3296311111000,-46%,270101529789,17.02.2026 1:14,026005 - 026007,Сухое,red,Ш,6595,"2083,1",433,"2320,5","692,7",3296311111000,5578.99,5299.99,,2999.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино MICKAEL MARILLIER BEAUJOLAIS AOP ординарное сортовое кр. сух. (Франция) 0. 75L,"1999,99","1399,99",нет,3363040800885,-30%,270101580637,03.03.2026 16:10,026017 - 025018,Сухое,red,К,6595,"699,9","1572,5","877,4","1794,8",3363040800885,1999.99,1899.99,,1399.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино CLOCE DU CHARME Каберне Совиньон кр. сух. (Франция) 0. 75L,"1334,99","1199,99",нет,3437540053123,-10%,270101778029,08.04.2026 1:24,026005 - 026007,нет,red,К,6595,659,"1090,2","841,9","1520,8",3437540053123,1334.99,1268.29,,1199.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино CLOCE DU CHARME Каберне Мерло кр. сух. (Франция) 0. 75L,"1334,99","1199,99",нет,3437540053130,-10%,270101770030,,,нет,red,К,6595,"653,6","617,1","820,3","1059,3",3437540053130,1334.99,1268.29,,1199.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино LE GRAND NOIR Пино Нуар кр. п./ сух. (Франция) 0. 75L,"1578,94","1199,99",нет,4690491106778,-29%,270101450101,03.04.2026 5:01,025015 - 025010,Полусухое,red,К,6595,"691,4","51,4",879,"266,8",4690491106778,1578.94,1499.99,,1119.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино LA BAUME SAINT-PAUL TERROIR Корбьер AOP  кр. сух. (Франция) 0. 75L,"2526,31","2254,99",нет,3500610089701,-10%,270101495860,,025017 - 025018,Сухое,red,К,15833,"2037,7","1794,1","2268,4","1985,3",3500610089701,2526.31,2399.99,,2254.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино GUIGAL Кот дю Рон Руж выд. кр. сух. (Франция) 0. 75L,"4421,09","2749,99",нет,4690491121887,-37%,270101730056,17.02.2026 1:14,нет,Сухое,red,нет,15833,"2077,2","1214,1",2331,"1454,7",4690491121887,4421.09,4199.99,,2749.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино BOUNGOGNE PINOT NOIR PIERRE NEROL выдерж. сорт. AOP кр. сух. (Франция) 0. 75L,"3157,89","2299,99",нет,3298660031398,-27%,270101701901,03.03.2026 16:30,026017 - 026015,Сухое,red,Ш,15833,"2116,8","492,4","2393,6","792,3",3298660031398,3157.89,2999.99,,2299.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино CHATEAU LE VIEUX FORT Бордо Медок Крю Буржуа АОП выдерж. кр. сух. (Франция) 0. 75L,"2526,31","2184,99",нет,3770001048277,-13%,270101495862,28.02.2026 1:13,025017 - 025018,Сухое,red,Ш,15833,"2149,7","96,9",2420,"386,9",3770001048277,2526.31,2399.99,,2184.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино LE GRAND NOIR Каберне Совиньон орд. кр. п./ сух. (Франция) 0. 75L,"1578,94","1199,99",нет,4690491106877,-29%,270101458163,03.04.2026 5:01,026015 - 026016,Полусухое,red,К,15833,"584,3","1339,3","788,7","1579,9",4690491106877,1578.94,1499.99,,1119.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино CAHORS Шато Брю Лягардет выд. кр. сух. (Франция) 0. 75L,"2105,26","1529,99",нет,3661710013000,-27%,,,,нет,red,К,15833,"498,6","673,6","676,6","927,4",3661710013000,2105.26,1999.99,,1529.99,нет,нет,нет,нет,нет,нет
